Rep,Model,CR,CS,Cost_0.5,Cost_0.6,Cost_0.7,Cost_0.8,Cost_0.9,Cost_0.95
9,RPMQR,0.07096171802054155,0.22380715608596802,5.23215,6.420035,7.84434,9.802969,13.379417,16.939384
9,Mono,0.0,0.0,6.335656,7.0779734,8.323396,9.982211,14.175877,17.898518
9,RMono,0.0,0.0,5.486824,6.353919,7.842488,9.739084,13.104862,16.965052
9,NCMQR,0.0,0.0,6.459234,7.642862,9.157886,11.118385,14.693648,18.473703
9,RNCMQR,0.0,0.0,5.65652,6.7835393,8.207291,10.131752,13.265913,16.942694
9,Rearrangement,0.0,0.0,5.4640226,6.595038,8.245109,10.122232,13.533409,17.574907
9,Isotonic,0.0,0.0,5.464662,6.594427,8.245888,10.122591,13.533409,17.574907
10,SQR,0.2987861811391223,1.5619707107543945,5.3932962,6.536898,8.142345,10.613723,14.510705,21.231916
10,RSQR,0.49486461251167135,0.9280064702033997,5.365663,6.5181518,7.8686957,10.49556,13.853705,19.984684
10,MQR,0.05415499533146592,0.7591702938079834,5.438853,6.696826,8.405252,10.577643,14.202912,18.646963
10,RMQR,0.021475256769374416,0.658240795135498,5.3312435,6.5355935,8.070295,10.170685,13.23676,17.148575
10,PMQR,0.06069094304388422,0.24279220402240753,5.3328085,6.549694,7.933005,9.97201,13.476967,16.968634
10,RPMQR,0.008403361344537815,0.06829515844583511,5.2781663,6.528599,7.928693,9.988817,13.205732,16.807667
10,Mono,0.0,0.0,6.6870756,7.689558,9.131342,11.012526,15.840106,18.703001
10,RMono,0.0,0.0,5.69235,6.5485907,7.8796577,10.058269,13.483685,17.771915
10,NCMQR,0.0,0.0,5.602081,6.8515506,8.148595,10.116824,13.335996,17.25842
10,RNCMQR,0.0,0.0,5.4849057,6.6310973,8.06814,10.007502,13.129397,16.99002
10,Rearrangement,0.0,0.0,5.4385295,6.696231,8.401828,10.557369,14.252493,18.571848
10,Isotonic,0.0,0.0,5.438691,6.6965275,8.4062805,10.564202,14.225797,18.605614
11,SQR,0.6573295985060691,1.6466679573059082,5.3377576,7.2630744,7.825506,10.561207,14.2807,18.66604
11,RSQR,0.37628384687208216,1.3285266160964966,5.4790993,6.721389,7.869664,10.157019,14.2340555,18.784119
11,MQR,0.10644257703081232,0.2621223032474518,5.6687226,6.8452044,8.308551,10.470337,14.040986,17.931612
11,RMQR,0.12978524743230627,0.45191389322280884,5.4237065,6.5726366,8.028952,10.022828,13.576431,16.705221
11,PMQR,0.06535947712418301,0.5382031202316284,5.4368687,6.6339226,8.030747,9.988042,13.46451,16.562057
11,RPMQR,0.035480859010270774,0.21605241298675537,5.265857,6.482403,7.9550734,9.950337,13.172246,16.770561
11,Mono,0.0,0.0,6.3730903,7.1357327,8.299699,10.441282,14.618459,18.417427
11,RMono,0.0,0.0,5.994134,6.787364,8.571656,10.496624,13.881543,18.365307
11,NCMQR,0.0,0.0,5.4693995,6.589188,8.082458,9.916458,13.196493,17.239197
11,RNCMQR,0.0,0.0,5.3591566,6.5503936,7.9438853,9.82565,13.051249,16.725147
11,Rearrangement,0.0,0.0,5.6659374,6.8470654,8.3035345,10.471069,14.031821,17.931747
11,Isotonic,0.0,0.0,5.667311,6.8455896,8.304425,10.4710455,14.038563,17.931679
12,SQR,0.5779645191409897,1.6393786668777466,5.399975,6.4654403,8.054681,10.62149,14.489026,18.603651
12,RSQR,0.5742296918767507,1.6196155548095703,5.58297,6.4938054,7.961803,11.503488,14.300881,19.049946
12,MQR,0.11671335200746966,0.3543887436389923,5.3685656,6.547538,8.098287,10.16247,13.792343,17.914413
12,RMQR,0.032679738562091505,0.18067294359207153,5.690631,7.0081663,8.9139805,11.218991,15.453957,19.495329
12,PMQR,0.04108309990662932,0.26112303137779236,5.33332,6.5521708,7.9355617,9.897077,13.107585,16.906488
12,RPMQR,0.013071895424836602,0.19580993056297302,5.2829843,6.5054364,8.078656,10.056687,13.613176,17.383501
12,Mono,0.0,0.0,6.1137123,6.7830253,8.040316,10.06739,13.369643,17.282043
12,RMono,0.0,0.0,5.798201,6.646398,8.242613,10.1532,14.230915,18.874971
12,NCMQR,0.0,0.0,5.4460835,6.526406,8.031673,9.94534,13.36395,17.12583
12,RNCMQR,0.0,0.0,5.265953,6.406441,7.8372827,9.778227,13.076307,17.03201
12,Rearrangement,0.0,0.0,5.3640594,6.5486727,8.100066,10.160922,13.786476,17.896214
12,Isotonic,0.0,0.0,5.3663096,6.5480986,8.099114,10.161696,13.789464,17.905313
13,SQR,0.5256769374416433,1.7014648914337158,5.5021644,6.658281,7.751674,10.129529,13.84394,19.729916
13,RSQR,0.5602240896358543,1.5865478515625,5.4561977,6.4002476,8.055826,11.868301,14.714881,18.931797
13,MQR,0.08403361344537816,0.3027050197124481,5.3172135,6.5004773,7.86564,9.949284,13.180502,16.499857
13,RMQR,0.04668534080298786,0.18893271684646606,5.284191,6.444539,7.884865,9.868536,13.216208,16.437042
13,PMQR,0.06069094304388422,0.16360589861869812,5.411061,6.6796265,8.081974,10.134276,13.736269,16.928831
13,RPMQR,0.022408963585434174,0.24062955379486084,5.2154026,6.4336104,7.906631,9.78611,13.264153,17.237663
13,Mono,0.0,0.0,5.720063,6.5146656,7.736458,9.767241,12.848015,16.129335
13,RMono,0.0,0.0,5.657848,6.473793,7.788663,9.841939,13.156377,17.029427
13,NCMQR,0.0,0.0,5.526252,6.5884027,7.984781,9.930229,13.207201,16.393217
13,RNCMQR,0.0,0.0,5.5397363,6.5753074,8.085469,9.896541,13.240676,16.606924
13,Rearrangement,0.0,0.0,5.315273,6.4995413,7.8675146,9.942001,13.182074,16.493664
13,Isotonic,0.0,0.0,5.316243,6.499876,7.866211,9.94536,13.180956,16.496098
14,SQR,0.4584500466853408,1.6369720697402954,5.236107,6.363573,7.9268966,10.857215,14.515266,18.408367
14,RSQR,0.5452847805788982,1.1999655961990356,5.8511066,6.426741,7.814589,10.578569,14.913577,18.485413
14,MQR,0.14939309056956115,0.43414297699928284,5.36769,6.4959273,7.906309,10.054247,13.979196,18.163277
14,RMQR,0.1223155929038282,0.27442750334739685,5.210509,6.5501747,7.9715447,9.914321,13.3490505,17.014212
14,PMQR,0.05788982259570495,0.2915292978286743,5.2953663,6.5774693,8.102956,10.400522,14.197837,18.152794
14,RPMQR,0.009337068160597572,0.1295115053653717,5.274285,6.4813676,8.008379,10.017057,13.548926,17.95716
14,Mono,0.0,0.0,6.3369594,7.1538453,8.394082,10.440538,14.132044,18.618475
14,RMono,0.0,0.0,5.659685,6.5167127,8.000923,10.373768,13.996557,18.52422
14,NCMQR,0.0,0.0,5.3592854,6.595166,7.9896545,9.96904,13.206176,17.065376
14,RNCMQR,0.0,0.0,5.1972375,6.363713,7.777673,9.7380085,12.809164,16.499912
14,Rearrangement,0.0,0.0,5.3641233,6.4908805,7.8936486,10.059658,13.97715,18.165323
14,Isotonic,0.0,0.0,5.3654356,6.4934926,7.8978987,10.055675,13.978173,18.164299
15,SQR,0.44164332399626516,1.5669142007827759,5.4841413,6.6398053,8.381648,10.515205,14.58334,18.00818
15,RSQR,0.3660130718954248,1.0763533115386963,5.3909073,6.7350774,8.092468,10.706197,13.688216,17.64662
15,MQR,0.06442577030812324,0.3213261365890503,5.6107078,6.733942,8.150666,10.214667,13.81935,17.275454
15,RMQR,0.035480859010270774,0.1333148330450058,5.37623,6.4810014,7.885207,9.815711,13.168624,16.527855
15,PMQR,0.029878618113912233,0.15683767199516296,5.4669013,6.6710534,8.17736,10.421236,14.387559,17.851849
15,RPMQR,0.08216619981325864,0.23641349375247955,5.393172,6.620138,8.113731,10.230576,13.930405,17.568447
15,Mono,0.0,0.0,6.191328,7.010781,8.126748,10.16344,13.760158,17.61694
15,RMono,0.0,0.0,5.751939,6.710332,8.090603,10.291949,13.735322,17.561815
15,NCMQR,0.0,0.0,5.743472,6.933505,8.404911,10.445865,14.024854,18.02419
15,RNCMQR,0.0,0.0,5.489896,6.6694217,8.102408,10.107503,13.670961,17.645832
15,Rearrangement,0.0,0.0,5.6091504,6.7264175,8.150359,10.223313,13.81935,17.275454
15,Isotonic,0.0,0.0,5.610251,6.729814,8.150485,10.21899,13.81935,17.275454
16,SQR,0.780578898225957,2.1852054595947266,5.5735703,6.775602,8.135046,11.642044,15.004526,18.82033
16,RSQR,0.5340802987861811,1.263541579246521,5.3320746,6.5402355,8.548131,11.10002,15.470171,18.746712
16,MQR,0.11671335200746966,0.6999252438545227,5.4826713,6.661115,8.135651,10.080247,13.147889,16.573942
